Student_ID,University,Gender,Academic_Year,Course,Student_Fees,Professor_Salary,Professor_Experience_Years
S0040,Alexandria University,Male,3,Business,19998,22567,1
S0041,Helwan University,Male,4,Law,10970,19481,35
S0042,Ain Shams University,Male,2,Business,24569,19027,30
S0043,Mansoura University,Male,2,Computer Science,24282,24875,15
S0044,Ain Shams University,Male,1,Medicine,19466,21387,22
S0045,Alexandria University,Male,4,Business,10960,29731,26
S0046,Ain Shams University,Male,2,Law,14273,19974,23
S0047,Mansoura University,Female,1,Law,20922,26186,5
S0048,Helwan University,Male,1,Computer Science,13019,24366,7
S0049,Mansoura University,Female,1,Law,22310,21719,26
S0050,Cairo University,Female,3,Computer Science,24747,26213,8
S0051,Helwan University,Male,2,Business,14076,23979,33
S0052,Alexandria University,Male,4,Law,16354,15766,27
S0053,Ain Shams University,Female,2,Medicine,19566,17106,12
S0054,Helwan University,Female,2,Medicine,11325,26321,21
S0055,Ain Shams University,Male,4,Business,11123,17829,31
S0056,Cairo University,Male,2,Medicine,9722,18419,22
S0057,Cairo University,Female,3,Engineering,23420,24508,32
S0058,Ain Shams University,Female,4,Engineering,21680,28379,13
S0059,Alexandria University,Female,1,Business,20667,18065,7
S0060,Mansoura University,Female,2,Computer Science,19106,28228,32
S0061,Mansoura University,Female,3,Engineering,11441,23551,16
S0062,Alexandria University,Male,1,Law,20341,16979,22
S0063,Mansoura University,Male,2,Medicine,11209,19564,29
S0064,Cairo University,Female,2,Pharmacy,15615,20720,11
S0065,Mansoura University,Male,3,Computer Science,19767,23836,26
S0066,Helwan University,Male,2,Law,20691,21261,30
S0067,Alexandria University,Female,4,Pharmacy,16800,20001,34
S0068,Ain Shams University,Female,3,Law,17433,21840,9
S0069,Cairo University,Female,3,Medicine,11115,16385,19
S0070,Cairo University,Male,3,Pharmacy,9967,18074,23
S0071,Alexandria University,Male,3,Business,8216,23223,34
S0072,Mansoura University,Male,4,Business,14898,16009,18
S0073,Alexandria University,Male,4,Medicine,19281,27120,18
S0074,Ain Shams University,Female,3,Law,19552,27417,3
S0075,Alexandria University,Female,1,Medicine,20338,21678,9
S0076,Cairo University,Male,4,Engineering,21773,29910,7
S0077,Alexandria University,Male,3,Medicine,9603,17401,17
S0078,Helwan University,Female,1,Law,16720,25718,20
S0079,Helwan University,Female,3,Law,22500,22999,30
S0080,Cairo University,Female,4,Law,12480,17982,29
S0081,Ain Shams University,Female,1,Medicine,9155,26088,7
S0082,Alexandria University,Male,4,Business,14018,16528,9
S0083,Alexandria University,Male,4,Pharmacy,20846,22021,32
S0084,Ain Shams University,Female,2,Computer Science,12641,29663,34
S0085,Mansoura University,Male,3,Pharmacy,18917,25554,20
S0086,Cairo University,Male,4,Law,16433,22117,32
S0087,Helwan University,Male,2,Medicine,8026,18486,25
S0088,Cairo University,Female,2,Pharmacy,17162,29098,2
S0089,Cairo University,Male,3,Medicine,21434,27868,24
S0090,Ain Shams University,Female,1,Pharmacy,19599,27841,25
S0091,Cairo University,Male,3,Medicine,18978,26983,16
S0092,Ain Shams University,Male,4,Business,21634,16752,8
S0093,Alexandria University,Female,2,Law,20824,17430,16
S0094,Helwan University,Female,3,Computer Science,21163,21265,18
S0095,Cairo University,Female,1,Computer Science,24678,27818,17
S0096,Cairo University,Male,2,Medicine,23622,23528,31
S0097,Alexandria University,Female,4,Computer Science,20318,28647,31
S0098,Ain Shams University,Female,3,Law,11422,17914,7
S0099,Helwan University,Female,2,Medicine,10066,19729,11
S0100,Cairo University,Male,1,Business,15337,17168,25
S0101,Mansoura University,Male,4,Engineering,22132,27477,34
S0102,Helwan University,Female,4,Law,20643,29650,24
S0103,Cairo University,Male,4,Computer Science,18227,21785,17
S0104,Alexandria University,Female,3,Computer Science,9326,16101,33
S0105,Ain Shams University,Male,1,Pharmacy,9963,18220,21
S0106,Cairo University,Female,4,Pharmacy,16927,23759,25
S0107,Alexandria University,Male,4,Engineering,13234,23841,25
S0108,Helwan University,Male,4,Business,9540,29690,3
S0109,Alexandria University,Male,2,Computer Science,9630,24160,24
S0110,Cairo University,Female,4,Pharmacy,9301,18972,32
S0111,Mansoura University,Female,1,Law,19294,19163,31
S0112,Ain Shams University,Male,1,Engineering,8396,20603,11
S0113,Cairo University,Male,2,Medicine,12796,20238,10
S0114,Helwan University,Female,3,Business,16636,20905,22
S0115,Alexandria University,Male,1,Business,21696,20256,3
S0116,Alexandria University,Female,2,Pharmacy,22951,23651,28
S0117,Alexandria University,Female,1,Medicine,15277,27931,4
S0118,Mansoura University,Male,3,Law,20948,27383,29
S0119,Mansoura University,Male,3,Business,21780,15465,19
S0120,Helwan University,Male,1,Medicine,24667,23682,20
S0121,Mansoura University,Male,1,Law,17371,20303,18
S0122,Helwan University,Male,2,Pharmacy,12246,23862,19
S0123,Mansoura University,Male,1,Pharmacy,22136,26820,4
S0124,Cairo University,Female,3,Pharmacy,18641,25536,33
S0125,Ain Shams University,Female,4,Engineering,12509,25047,2
S0126,Ain Shams University,Male,3,Pharmacy,12671,27997,6
S0127,Cairo University,Male,3,Computer Science,15173,16057,9
S0128,Cairo University,Male,3,Computer Science,19067,15230,8
S0129,Ain Shams University,Male,1,Engineering,14827,23182,6
S0130,Helwan University,Female,1,Computer Science,12077,25117,23
S0131,Ain Shams University,Female,1,Engineering,13438,21585,27
S0132,Helwan University,Male,3,Pharmacy,12014,20921,25
S0133,Helwan University,Female,1,Business,20714,27609,3
S0134,Alexandria University,Female,4,Computer Science,19809,20334,4
S0135,Helwan University,Female,2,Pharmacy,17876,22088,9
S0136,Helwan University,Female,3,Pharmacy,8253,15465,34
S0137,Cairo University,Female,2,Law,13167,23240,28
S0138,Alexandria University,Female,2,Medicine,8232,16100,8
S0139,Cairo University,Female,2,Pharmacy,24916,15185,23
S0140,Mansoura University,Female,2,Pharmacy,9329,25274,23
S0141,Alexandria University,Female,4,Business,22904,17264,24
S0142,Helwan University,Female,3,Engineering,24939,22286,3
S0143,Helwan University,Male,2,Business,21553,26629,24
S0144,Mansoura University,Male,4,Business,20046,27761,3
S0145,Mansoura University,Male,1,Engineering,8192,23823,17
S0146,Helwan University,Male,4,Engineering,11140,22954,28
S0147,Alexandria University,Female,2,Law,8287,19550,12
S0148,Cairo University,Male,4,Engineering,22383,23900,26
S0149,Helwan University,Female,4,Law,20228,18438,11
S0150,Helwan University,Female,2,Computer Science,12637,26234,8
S0151,Alexandria University,Female,2,Medicine,22686,23697,14
S0152,Helwan University,Female,4,Medicine,9356,20570,23
S0153,Alexandria University,Female,2,Medicine,15789,15895,27
S0154,Mansoura University,Female,3,Medicine,24798,27519,18
S0155,Alexandria University,Female,2,Business,10365,29414,22
S0156,Ain Shams University,Male,3,Business,22769,20673,30
S0157,Alexandria University,Male,3,Medicine,15933,16763,24
S0158,Cairo University,Male,1,Law,14481,26626,6
S0159,Helwan University,Male,3,Law,15955,22785,2
S0160,Helwan University,Male,4,Computer Science,11531,20181,33
S0161,Ain Shams University,Female,2,Medicine,23857,24874,27
S0162,Ain Shams University,Female,3,Law,22126,23583,8
S0163,Cairo University,Male,3,Engineering,13272,22974,35
S0164,Cairo University,Male,2,Medicine,9731,28197,14
S0165,Ain Shams University,Male,4,Engineering,22298,25602,28
S0166,Alexandria University,Female,4,Engineering,16147,15036,22
S0167,Ain Shams University,Female,4,Pharmacy,22817,16479,20
S0168,Alexandria University,Female,4,Law,16295,16597,30
S0169,Alexandria University,Male,2,Law,24302,20070,13
S0170,Ain Shams University,Female,2,Pharmacy,14834,27620,21
S0171,Helwan University,Male,2,Computer Science,16514,16206,8
S0172,Alexandria University,Female,2,Engineering,22630,24537,24
S0173,Cairo University,Female,4,Law,11520,23763,20
S0174,Ain Shams University,Male,2,Medicine,12819,25421,1
S0175,Alexandria University,Male,1,Medicine,21145,24480,11
S0176,Ain Shams University,Male,3,Business,8641,18279,4
S0177,Helwan University,Female,2,Pharmacy,11133,16247,13
S0178,Helwan University,Male,3,Pharmacy,9449,26678,20
S0179,Alexandria University,Female,4,Law,14723,26883,5
S0180,Mansoura University,Male,4,Pharmacy,9561,17352,8
S0181,Cairo University,Female,1,Pharmacy,22465,22119,22
S0182,Alexandria University,Female,4,Computer Science,22184,29556,15
S0183,Helwan University,Female,4,Computer Science,11888,23505,23
S0184,Alexandria University,Male,4,Computer Science,11015,18580,12
S0185,Cairo University,Male,1,Law,9496,24690,18
S0186,Helwan University,Male,1,Business,11027,19034,23
S0187,Alexandria University,Male,1,Law,22029,15857,29
S0188,Mansoura University,Female,1,Computer Science,24701,17409,30
S0189,Cairo University,Female,3,Engineering,15405,19798,22
S0190,Alexandria University,Male,3,Medicine,17526,15087,18
S0191,Cairo University,Female,1,Medicine,17493,25277,29
S0192,Cairo University,Male,1,Medicine,14901,23223,25
S0193,Ain Shams University,Male,1,Law,10963,25197,24
S0194,Alexandria University,Male,2,Business,13326,17225,17
S0195,Ain Shams University,Female,2,Engineering,19112,19484,34
S0196,Helwan University,Male,4,Engineering,23699,24040,17
S0197,Alexandria University,Male,3,Pharmacy,9417,22563,22
S0198,Ain Shams University,Female,2,Law,14235,27752,30
S0199,Mansoura University,Female,1,Engineering,9209,26489,26
S0200,Helwan University,Female,4,Computer Science,15043,21496,15
S0201,Mansoura University,Male,2,Computer Science,22515,24289,3
S0202,Mansoura University,Male,4,Pharmacy,14691,21951,31
S0203,Helwan University,Female,2,Medicine,11573,18254,26
S0204,Alexandria University,Male,4,Computer Science,10326,24890,1
S0205,Alexandria University,Female,4,Engineering,12479,22307,24
S0206,Mansoura University,Female,2,Computer Science,8689,22779,10
S0207,Alexandria University,Female,1,Engineering,18965,27236,18
S0208,Alexandria University,Male,4,Pharmacy,17688,19382,25
S0209,Cairo University,Female,3,Computer Science,13241,16938,33
S0210,Alexandria University,Male,4,Law,8000,20629,13
S0211,Ain Shams University,Female,1,Business,8356,24003,30
S0212,Mansoura University,Female,2,Pharmacy,11985,24687,13
S0213,Ain Shams University,Male,2,Business,19990,15690,29
S0214,Alexandria University,Male,2,Computer Science,13647,18999,35
S0215,Ain Shams University,Male,3,Engineering,15967,19655,17
S0216,Alexandria University,Male,2,Computer Science,17794,29013,33
S0217,Mansoura University,Male,1,Pharmacy,22074,25790,10
S0218,Mansoura University,Female,4,Computer Science,9524,25999,26
S0219,Alexandria University,Female,1,Computer Science,16190,24422,18
S0220,Mansoura University,Female,1,Medicine,9933,20142,24
S0221,Mansoura University,Male,4,Medicine,12106,25703,13
S0222,Alexandria University,Male,4,Pharmacy,11750,24427,8
S0223,Ain Shams University,Male,4,Medicine,21083,29692,3
S0224,Alexandria University,Male,3,Pharmacy,14542,26884,10
S0225,Ain Shams University,Female,4,Computer Science,10917,25450,28
S0226,Cairo University,Male,2,Business,16111,25644,20
S0227,Ain Shams University,Male,1,Computer Science,19829,16303,22
S0228,Cairo University,Male,1,Business,18799,19409,30
S0229,Ain Shams University,Male,3,Computer Science,12349,18249,33
S0230,Cairo University,Female,4,Business,22320,25546,19
S0231,Cairo University,Male,2,Business,12400,27955,3
S0232,Mansoura University,Female,4,Law,10930,22817,9
S0233,Ain Shams University,Male,2,Computer Science,9466,25082,25
S0234,Mansoura University,Male,2,Business,15337,20991,6
S0235,Alexandria University,Male,3,Law,13658,18275,26
S0236,Ain Shams University,Female,4,Computer Science,18848,25181,16
S0237,Ain Shams University,Female,4,Law,16550,16279,30
S0238,Ain Shams University,Male,3,Engineering,18756,29644,8
S0239,Mansoura University,Male,4,Law,13793,24983,3
S0240,Cairo University,Male,4,Business,21980,29128,28
S0241,Helwan University,Male,4,Business,14208,27685,23
S0242,Helwan University,Female,3,Computer Science,16957,17973,31
S0243,Ain Shams University,Female,1,Business,23581,23664,18
S0244,Mansoura University,Male,1,Engineering,20411,26447,19
S0245,Alexandria University,Female,2,Law,24098,26409,10
S0246,Alexandria University,Male,4,Business,22115,16406,27
S0247,Ain Shams University,Female,3,Business,22803,21101,3
S0248,Helwan University,Male,1,Pharmacy,17393,15857,14
S0249,Ain Shams University,Female,4,Business,20933,20821,27
S0250,Mansoura University,Female,3,Business,23633,28437,10
S0251,Ain Shams University,Male,2,Medicine,8129,22396,29
S0252,Helwan University,Female,2,Engineering,22224,23822,29
S0253,Cairo University,Female,2,Engineering,13240,21294,31
S0254,Mansoura University,Male,3,Business,20743,21488,33
S0255,Ain Shams University,Male,2,Engineering,21675,24958,25
S0256,Cairo University,Female,3,Law,16880,18392,30
S0257,Alexandria University,Male,2,Medicine,17324,25949,9
S0258,Mansoura University,Female,3,Engineering,14068,26730,34
S0259,Cairo University,Male,2,Business,16270,23112,6
S0260,Alexandria University,Male,4,Business,10162,16515,13
S0261,Ain Shams University,Female,4,Engineering,21455,20548,7
S0262,Ain Shams University,Male,4,Computer Science,9681,22144,33
S0263,Helwan University,Male,4,Medicine,17420,28618,32
S0264,Alexandria University,Female,2,Medicine,14888,23396,1
S0265,Cairo University,Male,2,Law,17093,17610,2
S0266,Ain Shams University,Female,1,Law,15465,16203,9
S0267,Mansoura University,Male,4,Pharmacy,16844,15800,11
S0268,Alexandria University,Female,4,Engineering,8357,23543,2
S0269,Ain Shams University,Female,2,Business,16220,28063,7
S0270,Ain Shams University,Female,4,Computer Science,23405,24742,10
S0271,Mansoura University,Male,1,Business,22369,18819,13
S0272,Alexandria University,Female,4,Law,14385,20162,31
S0273,Helwan University,Male,4,Engineering,21940,16159,9
S0274,Cairo University,Female,1,Law,10569,29504,18
S0275,Mansoura University,Female,3,Law,20956,15976,35
S0276,Alexandria University,Female,2,Engineering,20260,20785,20
S0277,Ain Shams University,Female,3,Computer Science,10195,29484,18
S0278,Helwan University,Male,3,Pharmacy,21771,17506,27
S0279,Helwan University,Male,1,Engineering,9679,19500,11
S0280,Helwan University,Female,2,Computer Science,20957,15564,25
S0281,Mansoura University,Male,2,Medicine,10883,28490,22
S0282,Mansoura University,Female,4,Business,9698,17156,13
S0283,Alexandria University,Male,4,Pharmacy,15580,15686,3
S0284,Helwan University,Male,3,Business,24882,20748,5
S0285,Ain Shams University,Male,4,Engineering,14842,24796,2
S0286,Helwan University,Female,3,Engineering,20349,21970,27
S0287,Cairo University,Female,4,Engineering,17029,23372,29
S0288,Ain Shams University,Female,1,Law,20384,27514,16
S0289,Cairo University,Male,3,Business,18555,22388,13
S0290,Alexandria University,Male,2,Business,20768,28682,32
S0291,Alexandria University,Male,3,Law,12870,17262,8
S0292,Ain Shams University,Female,1,Business,14396,24391,12
S0293,Ain Shams University,Male,2,Computer Science,21862,27373,29
S0294,Ain Shams University,Female,3,Computer Science,19577,16407,20
S0295,Helwan University,Female,1,Engineering,14936,16675,34
S0296,Mansoura University,Female,2,Computer Science,14272,24738,33
S0297,Helwan University,Male,3,Law,11299,21823,1
S0298,Helwan University,Male,1,Medicine,8164,20838,14
S0299,Ain Shams University,Male,4,Engineering,22489,21075,17
S0300,Cairo University,Female,3,Medicine,12171,18764,18
S0301,Alexandria University,Male,4,Computer Science,24200,20974,33
S0302,Alexandria University,Female,1,Pharmacy,24824,15537,20
S0303,Mansoura University,Female,1,Business,15361,25680,8
S0304,Helwan University,Female,3,Engineering,21955,18962,14
S0305,Ain Shams University,Male,4,Engineering,20424,24887,14
S0306,Helwan University,Female,2,Pharmacy,21997,21159,13
S0307,Mansoura University,Male,2,Computer Science,19439,19497,24
S0308,Helwan University,Female,1,Law,9445,25608,32
S0309,Ain Shams University,Female,1,Computer Science,14684,22907,11
S0310,Alexandria University,Female,3,Law,13544,25621,1
S0311,Mansoura University,Male,1,Engineering,12749,18957,22
S0312,Mansoura University,Male,2,Computer Science,16554,29580,20
S0313,Helwan University,Female,3,Pharmacy,12204,27344,2
S0314,Alexandria University,Female,2,Pharmacy,15419,15754,32
S0315,Ain Shams University,Male,1,Computer Science,10776,21229,27
S0316,Cairo University,Male,3,Computer Science,19349,25955,14
S0317,Mansoura University,Male,2,Law,17699,22243,17
S0318,Mansoura University,Female,4,Computer Science,8218,16968,7
S0319,Cairo University,Female,1,Engineering,11515,23340,28
S0320,Cairo University,Male,4,Medicine,23554,20711,13
S0321,Mansoura University,Male,4,Medicine,18133,27483,35
S0322,Ain Shams University,Female,4,Law,13948,26589,18
S0323,Ain Shams University,Female,1,Pharmacy,11262,16242,4
S0324,Cairo University,Female,3,Pharmacy,23544,27369,30
S0325,Alexandria University,Male,3,Computer Science,8303,15537,30
S0326,Mansoura University,Female,4,Engineering,17895,15174,2
S0327,Mansoura University,Female,4,Medicine,22312,21153,11
S0328,Helwan University,Female,4,Engineering,24737,16168,30
S0329,Helwan University,Female,4,Computer Science,22859,16299,28
S0330,Helwan University,Female,1,Medicine,20467,17214,17
S0331,Cairo University,Male,3,Business,10741,25605,35
S0332,Ain Shams University,Female,4,Medicine,21122,15098,27
S0333,Ain Shams University,Male,2,Business,19160,16021,10
S0334,Mansoura University,Male,4,Law,8128,17361,34
S0335,Alexandria University,Male,2,Medicine,16067,28633,15
S0336,Mansoura University,Male,2,Medicine,20360,29684,21
S0337,Mansoura University,Male,1,Pharmacy,23255,24323,6
S0338,Alexandria University,Female,2,Computer Science,8888,29281,3
S0339,Helwan University,Male,1,Pharmacy,8478,24392,30
S0340,Helwan University,Male,3,Engineering,13272,16713,35
S0341,Mansoura University,Female,4,Medicine,9959,26123,15
S0342,Ain Shams University,Female,4,Law,8655,23060,31
S0343,Alexandria University,Male,1,Computer Science,19543,28078,14
S0344,Mansoura University,Male,3,Pharmacy,20870,17994,28
S0345,Alexandria University,Female,2,Computer Science,20703,29145,35
S0346,Ain Shams University,Male,3,Medicine,24439,28634,24
S0347,Helwan University,Male,3,Medicine,15128,22476,5
S0348,Ain Shams University,Female,3,Law,23340,19724,11
S0349,Ain Shams University,Female,4,Medicine,13688,29115,33
S0350,Ain Shams University,Female,1,Law,10845,28817,20
S0351,Ain Shams University,Female,4,Pharmacy,9758,24958,3
S0352,Helwan University,Male,2,Computer Science,20990,23747,18
S0353,Mansoura University,Male,4,Law,21876,22981,25
S0354,Ain Shams University,Male,2,Law,18885,23241,3
S0355,Alexandria University,Female,2,Pharmacy,14312,26778,19
S0356,Mansoura University,Male,3,Business,15113,24200,31
S0357,Alexandria University,Male,2,Business,24167,19718,9
S0358,Ain Shams University,Female,2,Engineering,13295,21351,16
S0359,Mansoura University,Male,2,Computer Science,10698,25476,7
S0360,Cairo University,Female,4,Pharmacy,8081,29190,12
S0361,Ain Shams University,Male,1,Engineering,20263,29056,20
S0362,Mansoura University,Male,4,Pharmacy,16920,16627,26
S0363,Helwan University,Male,2,Law,9841,26222,5
S0364,Ain Shams University,Male,2,Pharmacy,11775,23439,19
S0365,Ain Shams University,Male,4,Computer Science,16824,29223,24
S0366,Mansoura University,Female,1,Medicine,8408,21428,14
S0367,Cairo University,Female,1,Computer Science,19422,27055,9
S0368,Helwan University,Male,4,Engineering,15646,16486,7
S0369,Helwan University,Male,3,Medicine,14541,16385,21
S0370,Helwan University,Male,4,Pharmacy,9793,21359,19
S0371,Ain Shams University,Male,3,Pharmacy,8778,24487,2
S0372,Cairo University,Female,3,Business,10587,15678,2
S0373,Cairo University,Female,1,Pharmacy,21921,28208,3
S0374,Cairo University,Male,1,Computer Science,15874,23640,33
S0375,Alexandria University,Male,4,Pharmacy,10949,29235,30
S0376,Cairo University,Female,4,Business,9717,20712,25
S0377,Cairo University,Male,3,Computer Science,24911,19268,14
S0378,Alexandria University,Male,3,Medicine,8313,25952,25
S0379,Helwan University,Female,2,Pharmacy,17941,28764,5
S0380,Cairo University,Male,1,Law,18353,18831,15
S0381,Cairo University,Female,1,Engineering,16228,15905,26
S0382,Cairo University,Female,1,Law,12380,26076,35
S0383,Mansoura University,Female,1,Law,8023,26728,24
S0384,Alexandria University,Female,1,Business,10213,18185,14
S0385,Mansoura University,Male,4,Medicine,22257,21195,1
S0386,Alexandria University,Female,1,Engineering,19671,19492,19
S0387,Alexandria University,Female,2,Engineering,12823,15396,25
S0388,Helwan University,Male,1,Engineering,13755,18349,3
S0389,Helwan University,Male,4,Pharmacy,14636,24463,7
S0390,Alexandria University,Male,1,Medicine,19609,16494,11
S0391,Mansoura University,Male,2,Engineering,10846,21687,12
S0392,Ain Shams University,Female,1,Medicine,8905,27114,17
S0393,Alexandria University,Female,4,Computer Science,21344,17905,11
S0394,Ain Shams University,Female,3,Medicine,19139,16344,9
S0395,Ain Shams University,Male,4,Engineering,22489,17992,17
S0396,Alexandria University,Male,4,Medicine,19573,21051,32
S0397,Mansoura University,Male,2,Law,19324,27234,22
S0398,Ain Shams University,Female,1,Business,11902,23137,28
S0399,Cairo University,Female,2,Computer Science,9786,29999,33
S0400,Ain Shams University,Male,3,Business,20049,27563,6
S0401,Cairo University,Male,4,Law,11053,21292,26
S0402,Helwan University,Male,4,Pharmacy,20728,17057,28
S0403,Alexandria University,Male,2,Engineering,13052,19122,7
S0404,Alexandria University,Male,1,Pharmacy,20493,18143,30
S0405,Helwan University,Male,3,Business,8171,18989,11
S0406,Cairo University,Male,3,Law,18220,18677,4
S0407,Cairo University,Male,4,Engineering,22421,29369,13
S0408,Mansoura University,Male,1,Pharmacy,23823,19211,3
S0409,Alexandria University,Female,1,Pharmacy,11570,25779,2
S0410,Helwan University,Male,2,Medicine,21539,18929,19
S0411,Helwan University,Male,2,Medicine,18660,29201,23
S0412,Mansoura University,Male,1,Computer Science,8002,15419,19
S0413,Ain Shams University,Female,1,Law,13662,21452,8
S0414,Alexandria University,Female,2,Computer Science,9240,24880,24
S0415,Alexandria University,Female,1,Engineering,23785,23985,31
S0416,Ain Shams University,Female,2,Business,14369,26843,25
S0417,Helwan University,Female,1,Law,21391,26251,12
S0418,Mansoura University,Male,4,Engineering,8798,20004,20
S0419,Alexandria University,Male,1,Pharmacy,9705,26557,18
S0420,Cairo University,Male,2,Medicine,13316,18617,25
S0421,Alexandria University,Male,3,Pharmacy,10113,26762,9
S0422,Ain Shams University,Female,4,Computer Science,9979,18291,7
S0423,Ain Shams University,Female,4,Computer Science,19184,20416,35
S0424,Mansoura University,Female,4,Pharmacy,20127,23753,35
S0425,Ain Shams University,Male,3,Pharmacy,17795,27242,3
S0426,Cairo University,Female,1,Pharmacy,19147,23625,32
S0427,Ain Shams University,Male,3,Engineering,16538,22387,12
S0428,Cairo University,Male,3,Engineering,8383,22952,29
S0429,Helwan University,Male,3,Pharmacy,18881,18471,2
S0430,Mansoura University,Male,2,Business,15712,28181,26
S0431,Helwan University,Female,2,Engineering,23711,25869,17
S0432,Helwan University,Male,3,Engineering,24664,27809,12
S0433,Mansoura University,Male,4,Engineering,20207,17110,34
S0434,Mansoura University,Male,3,Engineering,24120,21780,19
S0435,Alexandria University,Female,4,Law,19633,21179,30
S0436,Ain Shams University,Female,2,Law,11727,26655,22
S0437,Helwan University,Male,3,Computer Science,19075,20482,22
S0438,Mansoura University,Male,4,Law,20371,15724,13
S0439,Mansoura University,Female,1,Business,17297,29224,33
S0440,Alexandria University,Male,3,Law,16930,21908,16
S0441,Helwan University,Male,3,Engineering,24614,17835,14
S0442,Mansoura University,Male,4,Computer Science,23139,29982,19
S0443,Helwan University,Male,4,Medicine,19596,27145,1
S0444,Ain Shams University,Female,4,Business,11512,23845,25
S0445,Helwan University,Female,2,Law,14615,20222,32
S0446,Alexandria University,Female,1,Pharmacy,9677,15295,33
S0447,Helwan University,Female,1,Pharmacy,14191,19972,22
S0448,Alexandria University,Female,1,Pharmacy,8330,25716,19
S0449,Helwan University,Female,3,Engineering,17325,26906,26
S0450,Helwan University,Male,3,Engineering,9204,28659,35
S0451,Mansoura University,Male,4,Pharmacy,18630,16713,8
S0452,Helwan University,Female,2,Business,12821,24019,28
S0453,Alexandria University,Male,3,Business,23681,23261,11
S0454,Ain Shams University,Male,4,Computer Science,18880,17811,29
S0455,Ain Shams University,Male,3,Pharmacy,12378,28481,7
S0456,Cairo University,Male,2,Computer Science,18332,29460,26
S0457,Ain Shams University,Male,3,Pharmacy,24994,29610,14
S0458,Ain Shams University,Female,2,Medicine,14040,15776,5
S0459,Alexandria University,Female,4,Pharmacy,14279,16862,31
S0460,Alexandria University,Female,4,Law,14504,26721,11
S0461,Cairo University,Female,3,Engineering,10330,23800,8
S0462,Alexandria University,Female,2,Law,10304,17554,31
S0463,Cairo University,Male,4,Pharmacy,24834,20467,4
S0464,Helwan University,Male,1,Computer Science,22792,15804,26
S0465,Cairo University,Male,3,Medicine,10016,24982,11
S0466,Cairo University,Female,4,Pharmacy,22405,17890,16
S0467,Alexandria University,Female,4,Pharmacy,23623,16680,32
S0468,Ain Shams University,Male,1,Computer Science,12256,29005,24
S0469,Helwan University,Female,2,Medicine,11333,16629,35
S0470,Helwan University,Male,4,Law,16175,22814,23
S0471,Helwan University,Male,4,Law,18146,15341,1
S0472,Alexandria University,Male,4,Medicine,13714,20287,22
S0473,Ain Shams University,Female,3,Pharmacy,21422,20011,6
S0474,Mansoura University,Male,3,Pharmacy,18174,17233,13
S0475,Ain Shams University,Male,2,Medicine,10147,17937,4
S0476,Alexandria University,Male,3,Medicine,24412,18640,25
S0477,Helwan University,Male,1,Pharmacy,21513,18360,31
S0478,Cairo University,Female,3,Medicine,12545,16274,1
S0479,Ain Shams University,Male,3,Engineering,21576,21931,2
S0480,Alexandria University,Female,4,Medicine,17864,23772,35
S0481,Alexandria University,Male,1,Business,9144,24062,29
S0482,Helwan University,Female,4,Pharmacy,19801,19221,6
S0483,Ain Shams University,Male,4,Engineering,20624,22716,16
